   origin carrier depdelay total depdelayavg
1     SRQ      AA    49473 10146    4.876109
2     SRQ      UA    29404  5757    5.107521
3     SRQ      RU     7685  1476    5.206640
4     SRQ      US   118805 20479    5.801309
5     SRQ      TZ     7841  1334    5.877811
6     SRQ      TW    80583 13099    6.151844
7     SRQ      DL   334126 53803    6.210174
8     SRQ      EA    40209  5890    6.826655
9     SRQ      YV     7855  1115    7.044843
10    SRQ      NW    78555 10862    7.232094
   origin carrier depdelay  total depdelayavg
1     CMH      ML     5629   1308    4.303517
2     CMH      AA   218801  41793    5.235350
3     CMH      PI     9848   1718    5.732247
4     CMH      EA    26905   4647    5.789757
5     CMH      NW   364653  60357    6.041602
6     CMH      DL   470612  75945    6.196748
7     CMH      AL    31334   4754    6.591081
8     CMH      TW   242597  35325    6.867573
9     CMH      US   832870 116318    7.160285
10    CMH      DH    38395   5098    7.531385
   origin carrier depdelay  total depdelayavg
1     JFK      UA   730110  97344    7.500308
2     JFK      RU    12804   1412    9.067989
3     JFK      CO    51976   4873   10.666119
4     JFK      AA  2512377 226578   11.088354
5     JFK      DH   151415  13092   11.565460
6     JFK      PA   530873  44433   11.947719
7     JFK      AL    12383    996   12.432731
8     JFK      DL  2469533 189673   13.019950
9     JFK      B6  3287701 248786   13.214976
10    JFK      EA    85121   6391   13.318886
   origin carrier depdelay  total depdelayavg
1     SEA      PS     7205   1446    4.982711
2     SEA      OO   143808  28792    4.994721
3     SEA      AL    19524   2999    6.510170
4     SEA      DL  1058926 141945    7.460115
5     SEA      YV     4219    565    7.467257
6     SEA      US   463884  59294    7.823456
7     SEA      NW   975977 120829    8.077341
8     SEA      AA  1032860 125871    8.205703
9     SEA      WN  1496087 171954    8.700507
10    SEA      CO   624733  70223    8.896416
   origin carrier depdelay  total depdelayavg
1     BOS      PA   119964  25633    4.680061
2     BOS      RU     5961   1102    5.409256
3     BOS      ML     7189   1272    5.651730
4     BOS      TZ    25234   3435    7.346143
5     BOS      EV     5456    674    8.094955
6     BOS      DL  3141299 383838    8.183919
7     BOS      EA   258639  29806    8.677414
8     BOS      NW  1329364 147664    9.002628
9     BOS      AL   100561  10981    9.157727
10    BOS      US  4723161 482217    9.794680
