   origin dest depdelay total depdelayavg
1     SRQ  EYW        0     1    0.000000
2     SRQ  SJU        0     1    0.000000
3     SRQ  FLL        2     1    2.000000
4     SRQ  MEM     2172   952    2.281513
5     SRQ  MCO    25672  8767    2.928254
6     SRQ  TPA     8903  2631    3.383884
7     SRQ  RDU    19120  5387    3.549285
8     SRQ  BNA     1202   337    3.566766
9     SRQ  IAH     9157  2450    3.737551
10    SRQ  DCA      824   190    4.336842
   origin dest depdelay total depdelayavg
1     CMH  AUS        0     1    0.000000
2     CMH  SDF      346   119    2.907563
3     CMH  BNA    27867  7361    3.785763
4     CMH  CLE    25412  5793    4.386674
5     CMH  CAK     3808   764    4.984293
6     CMH  MEM    16854  3359    5.017565
7     CMH  IND    54104 10024    5.397446
8     CMH  DTW   175147 30899    5.668371
9     CMH  CLT   131808 23148    5.694142
10    CMH  DFW   137833 23883    5.771176
   origin dest depdelay total depdelayavg
1     JFK  ABQ        0     1    0.000000
2     JFK  ANC        0    27    0.000000
3     JFK  ISP        0     4    0.000000
4     JFK  MYR        0     1    0.000000
5     JFK  UCA      630   244    2.581967
6     JFK  AGS       19     4    4.750000
7     JFK  TUS      153    32    4.781250
8     JFK  STT    40368  7929    5.091184
9     JFK  BQN     9758  1905    5.122310
10    JFK  PSE     1666   310    5.374194
   origin dest depdelay total depdelayavg
1     SEA  EUG        0     1    0.000000
2     SEA  PIH        1     1    1.000000
3     SEA  AUS        8     3    2.666667
4     SEA  TWF        3     1    3.000000
5     SEA  PSC     8723  2058    4.238581
6     SEA  CVG    60601 13089    4.629918
7     SEA  MEM    59708 10722    5.568737
8     SEA  BLI    31758  5682    5.589229
9     SEA  IND      418    71    5.887324
10    SEA  MKE     3777   641    5.892356
   origin dest depdelay  total depdelayavg
1     BOS  ONT        0      2    0.000000
2     BOS  SWF        0      1    0.000000
3     BOS  AUS     1692    532    3.180451
4     BOS  LGA   498465 141416    3.524813
5     BOS  GGG        4      1    4.000000
6     BOS  PDX      830    198    4.191919
7     BOS  BDL    22348   3584    6.235491
8     BOS  LGB    11226   1734    6.474048
9     BOS  MDW    33836   4998    6.769908
10    BOS  MYR     2090    302    6.920530
